,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Yarada,IN,17.65,83.2667,84.52,84,40,4.61,scattered clouds,
1,Tiksi,RU,71.6872,128.8694,3.61,98,100,2.21,overcast clouds,
2,Cherskiy,RU,68.75,161.3,29.91,95,100,2.59,overcast clouds,
3,Barrow,US,71.2906,-156.7887,6.82,78,100,14.97,light snow,
4,Qaanaaq,GL,77.484,-69.3632,17.69,76,29,6.13,scattered clouds,
5,Jalingo,NG,8.8833,11.3667,78.37,74,100,9.13,overcast clouds,
6,Hobart,AU,-42.8794,147.3294,55.26,94,75,0.0,fog,
7,Busselton,AU,-33.65,115.3333,60.03,82,78,14.05,broken clouds,
8,Yarada,IN,17.65,83.2667,84.52,84,40,4.61,,2022-04-27 21:48:13
9,Tiksi,RU,71.6872,128.8694,3.61,98,100,2.21,,2022-04-27 21:50:49
10,Cherskiy,RU,68.75,161.3,29.91,95,100,2.59,,2022-04-27 21:54:50
11,Barrow,US,71.2906,-156.7887,6.82,78,100,14.97,,2022-04-27 21:51:02
12,Qaanaaq,GL,77.484,-69.3632,17.69,76,29,6.13,,2022-04-27 21:50:49
13,Jalingo,NG,8.8833,11.3667,78.37,74,100,9.13,,2022-04-27 21:48:57
14,Hobart,AU,-42.8794,147.3294,55.26,94,75,0.0,,2022-04-27 21:50:50
15,Busselton,AU,-33.65,115.3333,60.03,82,78,14.05,,2022-04-27 21:50:50
16,Puerto Leguizamo,CO,-0.1934,-74.7819,79.14,90,95,1.81,,2022-04-27 21:54:51
17,Cockburn Town,TC,21.4612,-71.1419,75.36,60,0,14.63,,2022-04-27 21:54:52
18,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,36,8.1,,2022-04-27 21:54:52
19,Kapaa,US,22.0752,-159.319,82.38,80,91,5.99,,2022-04-27 21:54:52
20,Katsina,NG,12.9894,7.6006,90.43,12,44,5.53,,2022-04-27 21:54:53
21,Yeppoon,AU,-23.1333,150.7333,69.58,79,4,12.91,,2022-04-27 21:54:53
22,Kodiak,US,57.79,-152.4072,40.51,87,0,4.61,,2022-04-27 21:52:09
23,Hatillo,PR,18.4863,-66.8254,80.2,68,26,10.0,,2022-04-27 21:54:54
24,Carutapera,BR,-1.195,-46.02,75.99,92,100,5.77,,2022-04-27 21:54:55
25,Raudeberg,NO,61.9875,5.1352,41.95,93,100,15.68,,2022-04-27 21:54:55
26,Guanare,VE,9.0418,-69.7421,77.02,100,100,2.3,,2022-04-27 21:54:56
27,Klaksvik,FO,62.2266,-6.589,43.72,74,97,5.48,,2022-04-27 21:54:56
28,Rikitea,PF,-23.1203,-134.9692,76.77,74,16,24.25,,2022-04-27 21:54:57
29,Mitsamiouli,KM,-11.3847,43.2844,80.78,78,69,11.41,,2022-04-27 21:54:57
30,Port Alfred,ZA,-33.5906,26.891,56.17,91,0,10.13,,2022-04-27 21:54:58
31,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,100,3.44,,2022-04-27 21:54:58
32,Ucluelet,CA,48.9329,-125.5528,52.09,75,44,1.01,,2022-04-27 21:54:51
33,Honiara,SB,-9.4333,159.95,82.81,78,90,2.15,,2022-04-27 21:54:59
34,Ushuaia,AR,-54.8,-68.3,35.26,64,40,20.71,,2022-04-27 21:51:02
35,Yellowknife,CA,62.456,-114.3525,50.56,37,20,13.8,,2022-04-27 21:54:59
36,Faya,SA,18.3851,42.4509,62.71,52,3,2.71,,2022-04-27 21:55:00
37,Nikolskoye,RU,59.7035,30.7861,33.87,82,32,3.78,,2022-04-27 21:52:49
38,Narsaq,GL,60.9167,-46.05,40.24,86,100,2.53,,2022-04-27 21:55:01
39,Faanui,PF,-16.4833,-151.75,81.07,76,14,20.96,,2022-04-27 21:55:01
40,Evensk,RU,61.95,159.2333,34.34,90,100,18.39,,2022-04-27 21:55:01
41,New Norfolk,AU,-42.7826,147.0587,54.91,87,98,1.95,,2022-04-27 21:55:02
42,Byron Bay,AU,-28.65,153.6167,62.94,84,57,6.53,,2022-04-27 21:52:37
43,Bitung,ID,1.4451,125.1824,76.05,82,100,4.61,,2022-04-27 21:55:02
44,Hermanus,ZA,-34.4187,19.2345,59.45,69,1,5.79,,2022-04-27 21:55:03
45,Xining,CN,36.6167,101.7667,37.89,81,8,1.77,,2022-04-27 21:55:03
46,Kimbe,PG,-5.5502,150.1429,80.69,85,72,1.88,,2022-04-27 21:55:03
47,Codrington,AU,-38.2667,141.9667,62.35,83,100,7.74,,2022-04-27 21:55:04
48,Mar Del Plata,AR,-38.0023,-57.5575,60.87,53,0,9.22,,2022-04-27 21:55:04
