,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hvide Sande,56.0045,8.1294,40.08,71,51,13.13,DK,2022-04-28 00:20:09
1,New Norfolk,-42.7826,147.0587,63.91,86,94,1.99,AU,2022-04-28 00:20:32
2,Hobart,-42.8794,147.3294,64.26,89,75,6.91,AU,2022-04-28 00:15:03
3,New Norfolk,-42.7826,147.0587,63.91,86,94,1.99,AU,2022-04-28 00:20:32
4,Hobart,-42.8794,147.3294,64.26,89,75,6.91,AU,2022-04-28 00:15:03
5,Punta Arenas,-53.15,-70.9167,33.91,60,20,11.5,CL,2022-04-28 00:15:29
6,Dikson,73.5069,80.5464,17.56,90,86,20.0,RU,2022-04-28 00:15:33
7,Avera,33.194,-82.5271,69.31,45,0,7.09,US,2022-04-28 00:21:06
8,Ostrovnoy,68.0531,39.5131,20.95,79,89,28.05,RU,2022-04-28 00:21:06
9,Bengkulu,-3.8004,102.2655,76.6,90,86,3.6,ID,2022-04-28 00:17:13
10,Qiongshan,20.0058,110.3542,82.38,83,0,8.95,CN,2022-04-28 00:21:06
11,Albany,42.6001,-73.9662,40.23,53,38,8.01,US,2022-04-28 00:13:53
12,Saldanha,-33.0117,17.9442,51.85,78,1,14.14,ZA,2022-04-28 00:21:07
13,Rikitea,-23.1203,-134.9692,77.27,68,13,23.67,PF,2022-04-28 00:15:23
14,Ribeira Grande,38.5167,-28.7,64.2,94,95,30.69,PT,2022-04-28 00:21:08
15,Los Llanos De Aridane,28.6585,-17.9182,60.55,83,40,9.22,ES,2022-04-28 00:17:00
16,Butaritari,3.0707,172.7902,81.34,81,27,16.26,KI,2022-04-28 00:17:12
17,Qaanaaq,77.484,-69.3632,16.48,72,86,7.0,GL,2022-04-28 00:16:14
18,Pangnirtung,66.1451,-65.7125,3.56,79,78,8.46,CA,2022-04-28 00:21:09
19,Busselton,-33.65,115.3333,59.58,75,89,12.3,AU,2022-04-28 00:15:19
20,Noumea,-22.2763,166.4572,80.58,99,100,14.27,NC,2022-04-28 00:21:09
21,Usinsk,65.9939,57.5281,19.51,87,72,8.03,RU,2022-04-28 00:21:10
22,Kenitra,34.261,-6.5802,50.76,85,66,4.29,MA,2022-04-28 00:16:35
23,Hermanus,-34.4187,19.2345,58.51,73,2,6.44,ZA,2022-04-28 00:15:27
24,Kahului,20.8947,-156.47,84.22,64,40,18.41,US,2022-04-28 00:21:10
25,Dudinka,69.4058,86.1778,33.62,99,100,11.32,RU,2022-04-28 00:21:10
26,Cape Town,-33.9258,18.4232,59.92,86,4,15.01,ZA,2022-04-28 00:12:36
27,Puerto Escondido,15.85,-97.0667,86.83,66,75,0.0,MX,2022-04-28 00:21:11
28,Kikwit,-5.041,18.8162,69.1,96,83,2.77,CD,2022-04-28 00:21:11
29,Vaini,-21.2,-175.2,82.56,54,20,10.36,TO,2022-04-28 00:17:08
30,Lagoa,39.05,-27.9833,62.73,92,100,33.02,PT,2022-04-28 00:21:12
31,Sabha,27.0377,14.4283,80.2,8,1,10.65,LY,2022-04-28 00:21:12
32,Coihaique,-45.5752,-72.0662,30.81,93,20,0.0,CL,2022-04-28 00:17:47
33,Rio Grande,-32.035,-52.0986,62.94,90,91,5.77,BR,2022-04-28 00:21:13
